1stFlrSF,3SsnPorch,BldgType,BsmtExposure,BsmtFinSF1,BsmtFinSF2,BsmtFinType1,BsmtFullBath,BsmtHalfBath,BsmtQual,CentralAir,Condition1,Condition2,Electrical,EnclosedPorch,FireplaceQu,Fireplaces,Foundation,FullBath,Functional,GarageArea,GarageCars,GarageFinish,GarageQual,GarageType,GarageYrBlt,GrLivArea,HalfBath,HeatingQC,HouseStyle,KitchenQual,LandSlope,LotArea,LotConfig,LotFrontage,LotShape,MasVnrArea,MiscVal,MoSold,Neighborhood,OpenPorchSF,OverallCond,OverallQual,PavedDrive,PoolArea,RoofMatl,RoofStyle,SaleCondition,ScreenPorch,Street,TotRmsAbvGrd,TotalBsmtSF,WoodDeckSF,YearBuilt,YearRemodAdd,YrSold,Sale Price
1040,0,0,3,906,0,5,1,0,4,1,2,2,0,0,3,0,1,1,6,384,1,3,5,5,1965.0,1040,0,0,2,3,0,11200,4,70.0,3,0,0,1,19,0,4,5,2,0,1,3,4,0,1,5,1040,0,1965,1965,2,11.771443882099637
1182,0,0,3,998,0,2,1,0,0,1,2,2,0,0,2,2,2,3,6,736,3,0,5,3,2005.0,2324,0,0,5,0,0,11924,4,85.0,0,186,0,6,16,21,4,9,2,0,1,3,5,0,1,11,1175,147,2005,2006,0,12.75130259456002
912,0,0,3,737,0,0,1,0,4,1,2,2,0,0,3,0,1,1,6,352,1,3,5,5,1962.0,912,0,4,2,3,0,12968,4,71.0,1,0,0,8,19,0,5,5,2,0,1,3,4,176,1,4,912,140,1962,1962,2,11.87757552297847
1494,0,0,0,0,0,6,0,0,2,1,2,2,0,0,2,1,2,2,6,840,3,2,5,1,2006.0,1494,0,0,2,2,0,10652,4,91.0,0,203,0,7,5,33,4,7,2,0,1,1,5,0,1,7,1494,160,2006,2007,1,12.540761149388421
1253,0,0,3,733,0,1,1,0,4,1,2,2,0,176,1,1,1,1,6,352,1,2,5,1,1960.0,1253,1,4,2,3,0,10920,0,73.0,0,139,0,4,12,213,4,6,2,0,1,3,4,0,1,5,1253,0,1960,1960,2,11.964007453736912
854,0,0,3,0,0,6,0,0,4,1,2,2,0,0,3,0,0,1,6,576,2,3,5,5,1991.0,854,0,0,1,3,0,6120,0,51.0,3,0,0,6,3,112,7,7,2,0,1,1,4,0,1,5,832,48,1929,2001,1,11.790564777297387
1004,0,0,3,578,0,0,1,0,4,1,2,2,0,0,5,1,1,1,6,480,2,0,5,1,1970.0,1004,0,0,2,3,0,11241,1,73.0,0,119,700,2,12,0,6,6,2,0,1,1,4,0,1,5,1004,0,1970,1970,4,11.91170829631447
1296,0,2,4,0,0,4,0,0,3,1,2,2,0,0,3,0,3,2,6,516,2,3,5,4,1967.0,1296,0,4,2,3,0,10791,4,72.0,3,0,500,9,19,0,4,4,2,0,1,1,4,0,1,6,0,0,1967,1967,0,11.407576060361786
1114,0,0,3,646,0,2,1,0,4,1,5,2,0,0,3,0,2,1,6,576,2,3,5,5,2004.0,1114,1,0,2,2,0,13695,4,66.0,3,0,0,5,20,102,4,5,2,0,1,1,4,0,1,6,1114,0,2004,2004,2,11.976665770490767
1339,0,0,3,504,0,3,0,0,4,1,2,2,0,0,3,0,1,1,2,294,1,3,5,1,1958.0,1339,0,4,2,3,0,7560,4,70.0,3,0,0,4,12,0,5,5,2,0,1,3,0,0,1,6,1029,0,1958,1965,3,11.842236406331555
1158,0,0,0,0,0,6,0,0,0,1,2,2,0,0,2,1,2,3,6,853,3,2,5,3,2005.0,2376,1,0,5,2,0,14215,0,101.0,0,234,0,10,16,154,4,8,2,0,1,1,5,0,1,9,1158,240,2005,2006,0,12.692506186542177
1108,0,0,3,0,0,6,0,0,4,1,2,2,0,205,2,1,2,1,6,280,1,3,5,1,1930.0,1108,0,0,1,2,0,7449,4,57.0,3,0,0,5,9,0,6,7,0,0,1,1,4,0,1,6,637,0,1930,1950,1,11.845109950883979
1795,0,0,3,0,0,6,0,0,2,1,2,2,0,0,2,1,2,2,6,534,2,2,5,1,2002.0,1795,0,0,2,2,0,9742,4,75.0,3,183,0,8,5,159,4,8,2,0,1,3,4,0,1,7,1777,171,2002,2002,2,12.345838935721968
1060,0,4,3,840,0,2,1,0,2,1,2,2,0,0,5,1,2,1,6,572,2,3,5,1,1976.0,1060,0,4,2,3,0,4224,4,44.0,3,0,0,5,10,110,6,5,2,0,1,1,4,0,1,6,1040,100,1976,1976,1,11.774527900858468
1060,0,0,2,188,668,5,1,0,4,1,2,2,0,0,5,1,1,1,6,270,1,3,5,1,1968.0,1060,0,0,2,2,0,8246,4,71.0,0,0,0,4,19,90,7,5,2,0,1,1,4,0,1,6,1060,406,1968,2001,4,11.944714374881176
1600,0,0,3,0,0,6,0,0,2,1,2,2,0,0,2,1,2,2,6,890,3,2,5,1,2007.0,1600,0,0,2,2,0,14230,0,110.0,3,296,0,6,16,56,4,8,2,0,1,1,4,0,1,7,1566,0,2007,2007,3,12.454107814022272
900,0,0,2,234,486,1,0,1,4,1,2,2,0,0,3,0,1,1,6,576,2,3,5,5,2005.0,900,0,4,2,2,0,7200,0,60.0,3,0,0,4,12,32,6,5,2,0,1,1,4,0,1,5,900,222,1951,2000,4,11.811554895830454
1704,0,0,3,1218,0,2,1,0,0,1,2,2,0,0,2,1,2,2,6,772,3,2,5,1,2008.0,1704,0,0,2,2,0,11478,4,98.0,3,129,0,4,16,50,4,8,2,0,1,1,4,0,1,7,1704,0,2007,2008,4,12.631343648903034
1600,0,0,1,1277,0,1,1,0,4,1,2,2,0,0,2,2,1,1,6,319,1,2,5,1,1957.0,1600,0,4,2,3,0,16321,1,47.0,0,0,0,11,12,258,5,5,2,0,1,1,4,0,1,6,1484,288,1957,1997,0,12.242891437918386
520,0,0,3,0,0,6,0,0,4,0,1,7,0,87,3,0,0,1,6,240,1,3,1,5,1920.0,520,0,1,2,1,0,6324,4,60.0,0,0,0,4,3,0,5,4,2,0,1,1,4,0,1,4,520,49,1927,1950,2,11.134603622683905
649,0,0,3,0,0,6,0,0,4,0,1,2,0,172,3,0,0,1,6,250,1,3,5,5,1920.0,1317,0,4,5,3,0,8500,4,50.0,3,0,0,6,9,54,3,4,0,0,1,2,4,0,1,6,649,0,1920,1950,2,10.596659732783579
1228,0,0,3,0,0,6,0,0,4,1,2,2,0,0,3,0,1,1,6,271,1,3,5,1,1966.0,1228,1,2,2,2,0,8544,1,71.0,0,0,0,5,19,65,5,5,2,0,1,1,4,0,1,6,1228,0,1966,2006,2,11.914054519303125
1234,0,0,0,0,0,6,0,0,0,1,2,2,0,0,3,0,2,2,6,484,2,2,5,1,2007.0,1234,0,0,2,2,0,11049,0,85.0,3,0,0,0,5,30,4,8,2,0,1,1,4,0,1,7,1234,0,2007,2007,2,12.100161978566867
1700,0,0,3,1018,0,5,0,1,4,1,2,2,0,0,2,1,1,1,6,447,2,2,5,1,1959.0,1700,1,2,2,2,0,10552,4,70.0,0,0,0,3,12,38,4,5,2,0,1,3,4,0,1,6,1398,0,1959,1959,4,12.016732516077072
1561,0,4,3,1153,0,2,1,0,0,1,2,2,0,0,2,1,2,2,6,556,2,0,5,1,2005.0,1561,0,0,2,0,0,7313,4,60.0,3,161,0,7,16,47,4,9,2,0,1,3,4,0,1,6,1561,203,2005,2005,1,12.533579815765737
1132,0,0,0,0,0,6,0,0,0,1,2,2,0,0,2,1,2,3,6,691,3,0,5,3,2004.0,2452,1,0,5,2,0,13418,4,108.0,3,81,0,8,16,32,4,8,2,0,1,1,4,0,1,9,1117,113,2004,2005,0,12.6410997921206
1097,0,0,3,0,0,6,0,0,2,1,2,2,0,0,3,0,2,1,6,672,2,3,5,1,1995.0,1097,1,0,2,3,0,10859,0,112.0,3,0,0,5,5,64,4,5,2,0,1,1,4,0,1,6,1097,392,1994,1995,3,11.884495917930655
1297,0,0,3,1213,0,5,0,1,4,1,2,2,0,0,5,1,1,1,6,498,2,0,5,1,1954.0,1297,0,2,2,3,0,8532,4,74.0,3,297,0,9,12,0,5,5,2,0,1,3,4,0,1,5,1297,0,1954,1990,3,11.938199736300925
1057,0,0,3,731,0,2,1,0,4,1,2,2,0,0,3,0,1,1,6,246,1,3,5,5,1953.0,1057,0,4,2,2,0,7922,4,68.0,3,0,0,0,12,52,6,5,2,0,1,1,0,0,1,5,1057,0,1953,2007,4,11.599112335481124
1152,0,2,4,0,0,4,0,0,3,0,2,2,0,0,3,0,2,2,6,0,0,1,3,6,0.0,1152,0,4,2,1,0,6040,4,65.0,3,0,0,5,7,0,4,4,0,0,1,1,1,0,1,6,0,0,1955,1955,2,11.314486721293981
1324,0,0,3,643,0,5,0,0,4,1,2,2,0,0,5,1,1,2,6,440,2,2,5,1,1965.0,1324,0,0,2,3,0,8658,4,84.0,3,58,0,11,12,138,4,6,2,0,1,1,0,0,1,6,1088,0,1965,1965,0,11.982935344196433
1328,0,0,1,967,0,1,0,1,4,1,2,2,0,0,2,2,1,1,6,308,1,2,5,1,1959.0,1328,1,2,2,3,0,16905,4,115.0,3,0,0,6,23,104,5,5,1,0,1,1,4,0,1,5,1350,0,1959,1959,1,12.04355959836804
884,0,0,0,747,93,0,1,0,2,1,2,2,0,0,3,0,1,1,6,504,2,2,5,1,1983.0,884,0,2,6,2,0,9180,1,66.5,0,0,0,11,20,0,6,5,2,0,1,1,4,0,1,5,840,240,1983,1983,1,11.87757552297847
938,0,0,0,280,491,3,1,0,2,1,2,2,0,0,3,0,1,1,6,308,1,3,5,5,1977.0,938,0,4,2,3,0,9200,1,70.0,0,0,0,6,5,0,5,5,2,0,1,3,4,0,1,5,938,145,1975,1980,2,11.777218637129327
1150,0,0,3,179,506,0,1,0,4,1,2,2,0,0,3,0,1,1,6,300,1,2,5,1,1959.0,1150,0,0,2,3,0,7945,4,70.0,3,0,0,4,12,0,5,5,2,0,1,1,4,0,1,6,1150,0,1959,1959,0,11.856522261533737
1752,0,4,3,456,0,2,1,0,0,1,2,2,0,0,2,1,2,2,6,576,2,2,5,1,2005.0,1752,0,0,2,0,0,7658,4,61.0,3,243,0,1,16,82,4,9,2,0,1,3,4,0,1,6,1752,196,2005,2005,4,12.675766851909591
1518,0,0,3,1351,0,2,1,0,0,1,2,2,0,0,0,1,2,1,6,670,2,2,5,1,2003.0,2149,1,0,0,2,0,12822,1,48.0,0,0,0,7,11,43,4,7,2,0,1,1,0,198,1,6,1434,168,2003,2003,3,12.387089184491993
1656,0,0,0,24,0,2,0,0,2,1,2,2,0,0,3,0,2,2,6,826,3,2,5,1,2006.0,1656,0,0,2,2,0,11096,4,84.0,3,0,0,6,21,146,4,8,2,0,1,1,4,0,1,7,1656,0,2006,2006,1,12.428019481065613
736,0,1,3,0,0,6,0,0,4,1,2,2,0,102,3,0,0,2,6,0,0,1,3,6,0.0,1452,0,2,5,3,0,4456,4,33.0,3,0,0,5,17,0,4,4,0,0,1,1,5,0,1,8,736,0,1920,2008,3,11.635151947212842
955,0,0,3,763,0,1,1,0,4,1,2,2,0,0,3,0,1,1,6,386,1,3,5,1,1966.0,955,0,0,2,3,0,7742,4,66.0,3,0,0,0,19,0,6,5,2,0,1,1,4,0,1,6,955,0,1966,1966,1,11.751950239425476
794,0,0,0,182,0,2,0,1,2,1,2,2,0,0,3,0,2,2,6,388,2,0,5,1,1997.0,1470,0,2,5,3,0,13869,0,65.0,1,0,0,6,8,75,5,6,2,0,1,1,4,0,1,6,794,0,1997,1997,1,12.083910661257521
816,0,0,3,0,0,6,0,0,4,1,2,2,0,0,2,1,2,1,6,528,2,3,5,5,1985.0,1176,0,4,0,3,0,6240,4,52.0,3,0,400,8,3,0,5,6,2,0,1,1,4,0,1,6,816,112,1934,1950,0,11.648338835562747
816,0,2,1,104,712,3,1,0,2,0,8,2,0,0,3,0,1,1,6,516,2,3,5,4,1963.0,816,0,4,2,3,1,8472,0,110.0,1,0,0,4,9,0,4,5,2,0,1,1,4,0,0,5,816,106,1963,1963,4,11.608244735642321
1842,0,0,1,1810,0,2,2,0,0,1,2,2,0,0,2,1,1,0,6,894,3,0,5,1,1981.0,1842,1,2,2,2,0,50271,4,68.0,0,0,0,10,24,72,4,9,2,0,7,1,4,0,1,5,1842,857,1981,1987,0,12.861001210669146
1360,0,0,3,384,0,0,0,0,4,1,2,2,0,0,5,1,1,1,2,572,2,3,5,5,1962.0,1360,0,4,7,3,1,7134,4,60.0,3,0,0,1,12,50,4,5,2,0,1,1,4,0,1,6,384,0,1955,1955,1,11.775297421715827
1425,407,0,3,490,0,1,0,0,4,1,2,2,0,0,2,1,1,2,6,576,2,2,5,1,1964.0,1425,0,2,2,3,0,10175,4,100.0,0,178,0,6,12,0,4,6,2,0,1,1,4,0,1,7,1425,0,1964,1964,2,12.103491596905931
983,0,3,3,649,0,2,1,0,2,1,2,2,0,0,3,0,2,2,6,480,2,0,5,1,1999.0,1739,1,0,5,2,0,2645,4,24.0,3,261,0,7,21,0,4,8,2,0,1,1,0,0,1,7,970,115,1999,2000,3,12.058158312538197
860,0,0,3,0,0,6,0,0,2,1,2,2,0,0,3,0,2,2,6,565,2,2,5,1,2004.0,1720,1,0,5,2,0,11645,0,89.0,0,0,0,7,5,70,4,7,2,0,1,1,4,0,1,7,860,0,2004,2004,0,12.188422799337028
1426,0,0,1,0,0,6,0,0,0,1,2,2,0,37,2,1,2,3,6,641,3,0,5,3,2006.0,2945,1,0,5,2,0,13682,1,66.0,1,320,0,9,22,0,4,10,2,0,1,3,5,0,1,10,1410,192,2006,2006,0,12.991755706536901
780,0,0,0,632,0,0,0,0,4,1,2,2,0,0,3,0,1,1,6,352,1,3,5,5,1973.0,780,0,0,2,3,0,7200,4,60.0,3,0,0,0,5,0,6,5,2,0,1,1,4,0,1,4,780,196,1972,1972,2,11.735276702486741
1158,0,0,3,941,0,0,1,0,2,1,5,2,0,0,3,0,2,1,6,576,2,3,5,5,2006.0,1158,1,0,2,2,0,13072,4,63.0,3,0,0,4,20,50,4,6,2,0,1,1,5,0,1,5,1158,0,2004,2004,0,11.970356641102999
581,0,0,3,0,0,6,0,0,4,0,2,2,0,144,3,0,0,1,6,288,1,3,5,5,1935.0,1111,0,4,4,1,0,7200,4,60.0,3,0,0,2,9,0,6,5,0,0,1,1,4,0,1,6,530,0,1920,1996,1,11.522885696764481
1370,0,4,2,24,0,2,0,0,2,1,2,2,0,0,2,1,2,2,6,484,2,2,5,1,2006.0,1370,0,0,2,2,0,6442,4,44.0,0,118,0,9,16,49,4,8,2,0,1,1,4,0,1,6,1370,120,2006,2006,1,12.218500103788143
902,0,0,3,0,0,6,0,0,4,1,6,1,0,64,3,0,0,2,6,480,2,3,5,5,1990.0,1710,0,2,5,3,0,10300,4,50.0,0,0,0,3,17,11,5,7,2,0,1,1,4,0,1,9,576,12,1921,1950,4,11.849404844423074
1057,0,0,3,739,0,2,1,0,2,1,2,2,0,0,3,0,2,2,6,645,2,2,5,1,1998.0,2034,1,0,5,2,0,9375,4,70.0,3,284,0,1,5,36,4,7,2,0,1,1,4,0,1,8,1057,576,1997,1998,3,12.299112067295642
1143,0,0,0,0,0,6,0,0,0,1,2,2,0,0,2,1,2,2,6,852,3,2,5,3,2004.0,2473,1,0,5,2,0,9591,4,76.0,3,219,0,9,16,151,4,8,2,0,1,1,4,0,1,9,1143,192,2004,2005,1,12.666660207428574
2207,0,0,1,912,0,2,1,0,2,1,3,2,0,0,2,1,1,2,2,576,2,2,5,1,1970.0,2207,0,4,2,3,0,19900,4,73.0,3,187,0,6,12,0,4,7,2,0,1,1,4,0,1,7,1947,301,1970,1989,4,12.100717685412471
1479,0,0,0,1013,0,2,1,0,2,1,2,2,0,0,3,0,2,2,6,558,2,2,5,1,2003.0,1479,0,0,2,2,0,10665,4,72.0,0,109,0,5,5,29,4,7,2,0,1,1,4,0,1,7,1453,144,2003,2003,1,12.328294703023394
747,0,0,3,0,0,6,0,0,4,1,0,2,0,0,3,0,1,1,6,220,1,3,5,1,1945.0,747,0,4,2,3,0,4608,0,47.0,3,0,0,5,17,0,5,4,2,0,1,1,4,0,1,4,747,0,1945,1950,4,11.289794413577894
1304,0,0,3,603,0,1,0,0,4,1,2,2,0,114,5,1,1,2,6,667,2,0,5,1,1953.0,2287,0,4,0,3,0,15593,0,81.0,3,0,0,6,4,21,3,7,2,0,1,1,4,0,1,7,1304,0,1953,1953,0,12.323860125621126
2223,0,0,1,1880,0,0,1,0,2,1,2,2,0,0,2,2,1,2,6,516,2,0,5,1,1973.0,2223,0,0,2,3,0,13651,4,95.0,0,322,0,1,12,0,5,7,2,0,1,1,4,0,1,8,2223,300,1973,1973,1,12.404927602627597
845,0,0,3,565,0,0,1,0,4,1,2,2,0,0,3,0,1,1,6,360,2,3,5,5,1987.0,845,0,4,2,3,0,7599,0,69.0,3,0,0,5,11,0,5,4,2,0,1,1,4,0,1,4,845,0,1982,2006,1,11.771443882099637
885,0,0,3,0,0,6,0,0,2,1,2,2,0,0,5,1,2,2,6,427,2,0,5,1,1998.0,1718,1,2,5,3,0,10141,0,74.0,0,16,0,11,8,94,4,7,2,0,1,1,4,291,1,7,832,0,1998,1998,3,12.128116509451258
1086,0,0,3,320,362,0,1,0,4,1,2,2,0,0,3,0,1,1,6,490,2,3,5,1,1989.0,1086,0,2,2,3,0,10200,4,85.0,3,60,0,4,12,0,6,5,2,0,1,1,4,0,1,6,1086,0,1954,2003,4,11.88380602959621
840,0,0,3,0,0,6,0,0,1,0,2,2,0,202,3,0,1,2,6,379,1,3,5,5,1915.0,1605,0,2,5,3,0,5790,0,60.0,3,0,0,4,17,0,5,3,2,0,1,2,4,0,1,8,840,0,1915,1950,4,11.58432477200052
526,0,3,1,462,0,2,1,0,2,1,2,2,0,0,3,0,1,1,6,297,1,3,5,3,1973.0,988,0,4,7,3,0,1596,4,21.0,3,0,0,10,10,101,4,4,2,0,1,1,4,0,1,5,462,120,1973,1973,3,11.418625774449598
952,0,0,3,228,0,0,0,0,4,1,2,2,0,0,3,0,1,1,6,283,1,3,5,5,1956.0,952,0,0,2,3,0,8475,4,73.0,0,0,0,3,12,0,6,4,2,0,1,1,4,0,1,4,952,0,1956,1956,2,11.818577604251555
1072,0,0,3,336,41,1,1,0,4,1,2,2,0,0,3,0,1,1,2,240,1,3,5,5,1948.0,1285,0,4,0,3,0,8635,4,50.0,3,0,0,0,3,0,4,5,2,0,1,1,4,0,1,6,672,0,1948,2001,2,11.751950239425476
1768,0,2,3,0,0,6,0,0,4,0,2,2,0,0,3,0,1,2,6,0,0,1,3,6,0.0,1768,0,4,2,3,0,10778,4,72.0,3,0,0,3,19,0,4,4,2,0,1,3,4,0,1,8,1768,0,1968,1968,4,11.824087219587643
682,0,0,3,0,0,6,0,0,4,1,2,2,0,128,3,0,2,1,6,440,2,3,5,5,1966.0,1230,1,2,5,3,0,10440,0,60.0,3,0,0,4,17,0,5,5,2,0,1,1,4,0,1,5,440,74,1910,1981,3,11.608244735642321
1182,0,0,3,448,0,5,0,0,2,1,2,2,0,0,2,1,1,2,6,509,1,0,5,1,1968.0,2142,1,4,5,2,0,13000,0,100.0,3,285,0,5,12,72,5,6,2,0,1,1,4,252,1,8,896,0,1968,1968,3,12.173037959397275
1337,0,4,3,1201,0,2,1,0,0,1,2,2,0,0,3,0,2,2,6,405,2,0,5,1,1998.0,1337,0,0,2,3,0,4500,2,32.0,3,256,0,2,11,199,4,6,2,0,1,3,4,0,1,5,1237,0,1998,1998,0,11.941462360646149
1563,0,0,3,33,0,2,0,0,2,1,2,2,0,0,2,1,2,2,6,758,3,2,5,1,2007.0,1563,0,0,2,2,0,10206,4,78.0,3,265,0,9,21,99,4,8,2,0,1,1,4,0,1,6,1563,144,2007,2007,2,12.409017571151187
1065,0,0,3,0,0,6,0,0,4,1,2,2,0,0,3,0,1,1,6,461,2,3,5,5,1974.0,1065,1,2,2,3,0,8892,4,80.0,0,33,0,6,12,0,4,5,2,0,1,1,4,0,1,6,1065,74,1960,1960,1,11.748005492256807
804,0,0,3,0,0,6,0,0,2,1,2,2,0,0,5,1,2,2,6,400,2,0,5,3,1995.0,1474,1,2,7,3,0,8530,4,65.0,0,6,700,4,8,72,4,7,2,0,1,1,4,0,1,7,384,120,1995,1996,3,12.034696963475044
1301,0,0,3,0,0,6,0,0,2,1,2,2,0,0,5,1,1,2,6,462,2,3,5,1,1991.0,2417,1,0,5,2,0,16059,0,121.0,3,184,0,3,15,82,4,8,2,0,1,3,4,0,1,9,1288,127,1991,1992,0,12.468440756144114
684,0,0,0,0,0,6,0,0,2,1,2,2,0,0,2,1,2,2,6,400,2,0,5,3,2005.0,1560,1,0,5,2,0,11911,4,122.0,1,0,0,2,8,38,4,6,2,0,1,1,4,0,1,6,684,100,2005,2005,3,12.066816325306588
612,0,4,0,0,0,6,0,0,2,1,2,2,0,0,3,0,2,2,6,528,2,2,5,5,2009.0,1224,1,0,5,2,0,3951,0,40.0,3,40,0,5,21,234,4,6,2,0,1,1,5,0,1,4,612,0,2009,2009,3,12.010671928196443
1013,0,0,3,0,0,6,0,0,4,0,1,1,0,156,3,0,1,1,6,0,0,1,3,6,0.0,1526,0,4,0,1,0,8470,0,105.0,0,0,0,9,9,0,1,3,0,0,1,3,0,0,1,6,1013,0,1915,1982,3,11.350418300109132
990,0,0,3,588,0,2,1,0,2,1,2,2,0,0,3,0,2,1,6,0,0,1,3,6,0.0,990,0,0,2,3,0,8070,4,60.0,3,0,0,7,5,0,4,4,2,0,1,1,4,0,1,5,990,0,1994,1995,1,11.724813914587886
1040,0,0,4,0,0,4,0,0,3,1,2,2,0,0,3,0,3,1,6,420,2,3,5,5,1950.0,1040,0,4,2,3,0,7200,4,60.0,3,0,0,6,12,29,4,4,2,0,1,1,4,0,1,4,0,0,1950,1950,0,11.60733523953139
1235,0,0,3,600,0,5,0,0,4,1,2,2,0,0,3,0,1,1,6,480,2,3,5,1,1961.0,1235,0,4,2,3,0,8500,4,85.0,3,131,0,11,12,0,2,5,2,0,1,3,0,0,1,6,1235,0,1961,1961,0,11.498836682527127
964,0,0,3,713,0,0,1,0,2,1,2,2,0,44,3,0,0,1,6,432,2,3,5,5,1921.0,964,0,0,2,3,0,13360,4,80.0,0,0,0,7,6,0,6,5,2,0,1,1,4,0,1,5,876,0,1921,2006,3,12.004574385508691
1260,0,1,2,1046,0,5,0,1,4,0,2,2,0,0,2,1,0,2,6,506,2,3,5,5,1900.0,2291,0,0,4,3,0,7200,0,60.0,3,0,0,10,17,0,5,6,2,0,1,3,4,99,1,9,1214,0,1910,1998,1,11.804855999911272
905,0,0,3,648,0,2,1,0,2,1,2,2,0,0,3,0,2,2,6,684,2,2,5,1,1997.0,1786,1,0,5,2,0,9337,4,69.0,0,0,0,4,5,162,4,6,2,0,1,1,4,0,1,7,824,0,1997,1997,1,12.229549885708273
680,0,0,3,310,0,0,0,0,2,1,2,2,0,0,5,1,2,2,6,420,2,0,5,3,1993.0,1470,1,2,5,3,0,9765,0,65.0,1,35,480,3,8,63,7,6,2,0,1,1,4,0,1,6,680,232,1993,1993,3,12.128116509451258
1588,0,0,0,1162,0,0,0,0,2,1,2,2,0,0,3,0,2,2,6,472,2,2,5,1,1999.0,1588,0,0,2,2,0,10264,4,78.0,0,121,0,7,5,29,4,7,2,0,1,1,4,0,1,6,1588,158,1999,1999,0,12.273735966890268
960,0,0,3,520,0,5,1,0,4,1,2,2,0,0,3,0,1,1,6,432,1,0,5,1,1965.0,960,0,4,2,3,0,10921,4,73.0,3,22,0,4,7,0,4,4,1,0,1,3,4,0,1,6,960,120,1965,1965,1,11.459007676978688
835,0,0,3,108,0,0,0,0,4,0,2,2,0,77,3,0,0,1,6,366,1,3,1,2,1920.0,835,0,1,2,3,0,10625,0,85.0,3,0,400,4,7,0,4,5,2,0,1,1,0,0,1,5,458,0,1920,1950,4,11.326607934898927
1225,0,0,3,569,0,0,1,0,4,1,2,2,0,0,3,0,1,1,6,0,0,1,3,6,0.0,1225,1,1,2,3,0,9320,4,77.0,0,0,400,0,12,0,4,4,2,0,1,1,4,0,1,6,950,352,1959,1959,4,11.767187766223199
1610,0,0,2,1200,0,0,1,0,4,1,2,2,0,0,5,2,2,2,6,480,2,2,5,1,1977.0,1610,0,2,2,2,0,10603,4,80.0,0,9,0,1,14,68,6,6,2,0,1,1,4,0,1,6,1610,168,1977,2001,4,12.230770136157428
